DECISION (keep/drop),group,term,type,ai_releases,total_releases,pct_ai,example_sentence,example_relid
,AI-shaped word,AI-edge,AI-*,1,1,100%,"Four institutions were specially honoured for exemplary innovation, societal impact and industry collaboration: Punjab Engineering College , for pioneering prototypes in agriculture, healthcare and security and for its strong support to stu",280278
,AI-shaped word,AI-energy,AI-*,1,1,100%,"At the Summit, Prime Minister will exchange views with leaders of G-7 countries, other invited outreach countries and Heads of International Organisations on crucial global issues, including energy security, technology and innovation, parti",271871
,AI-shaped word,AI-era,AI-*,1,1,100%,"Further elaborating upon the Education and training priorities in the AI-era, the survey underscores the need to shift away from narrow technical specialization towards essential foundational capabilities such as reasoning, reading, judgmen",282941
,AI-shaped word,AI-facilitated,AI-*,1,1,100%,"In the backdrop of the ongoing AI Impact Summit, the Minister emphasised that large-scale genome sequencing initiatives supported by DBT are already AI-enabled, and future medical prescriptions will increasingly be based on individual genet",284593
,AI-shaped word,AI-financial,AI-*,1,1,100%,"Numerous initiatives have been taken that represent the core of India’s policy-driven approach to creating a secure and inclusive AI-financial ecosystem: BHASHINI In February 2026, the Digital India BHASHINI Division (DIBD) and the RBI sign",288803
,AI-shaped word,AI-guided,AI-*,1,1,100%,Simuliware: A digital twin based low-cost shopfloor simulation solution for MSMEs iGLU : Intelligent Glucose Measurement Device Remote multimodal point-of-care health diagnostic and consultancy system OASIS: Online Aerial image-based Surfac,286267
,AI-shaped word,AI-human,AI-*,1,1,100%,"Jitendra Singh cited AI-enabled telemedicine vans deployed in rural India, where hybrid AI-human models provided healthcare to villages that had never seen a doctor",276027
,AI-shaped word,AI-implemented,AI-*,1,1,100%,"Pandit, stated that the revised guidelines will serve as a crucial reference for inventors and officials alike, particularly in navigating the patentability of AI-implemented and other disruptive technology-based inventions",273610
,AI-shaped word,AI-integration,AI-*,1,1,100%,"The programme will be further strengthened through AI-integration, multilingual access and upgradation of digital platforms",290376
,AI-shaped word,AI-learning,AI-*,1,1,100%,"The National Education Policy (NEP) 2020 recognises AI's potential for economic growth, solving educational challenges, enhancing teacher capabilities, and personalising learning – and emphasises the importance of AI-learning across all edu",285159
,AI-shaped word,AI-linked,AI-*,1,1,100%,"AI Data Labs Network consists of 570 labs across Tier-2 and Tier-3 cities to build grassroots AI capabilities through training in data annotation, curation, and applied AI skills AI-linked curriculum is integrated under National Education P",284326
,AI-shaped word,AI-optimized,AI-*,1,1,100%,The Government of Odisha in collaboration with Sarvam AI are establishing a 50MW AI-optimized Sovereign AI Capacity Hub to serve as a national compute backbone,284719
,AI-shaped word,AI-oriented,AI-*,1,1,100%,"AI-oriented data centres , in particular, involve significant expenditure on computing hardware, energy systems, cooling infrastructure, and skilled manpower",284289
,AI-shaped word,AI-photo,AI-*,1,1,100%,"It houses 650 sculptures across 16 galleries, along with many digital installations, which include digital screens and displays, topographic projection maps, audio-visual displays, an AI-photo booth a curve screen and an RFID digital screen",278773
,AI-shaped word,AI-physics,AI-*,1,1,100%,"Seasonal changes benefit from hybrid AI-physics ensembles for sub-seasonal to seasonal outlooks, incorporating ENSO-monsoon links and extended Indian Monsoon Data Assimilation and Analysis (IMDAA) reanalysis",285568
,AI-shaped word,AI-relevant,AI-*,1,1,100%,"Further, AICTE has initiated several key reforms to integrate work-based learning, project portfolios and AI-relevant competencies into campus programmes",292257
,AI-shaped word,AI-research,AI-*,1,1,100%,IndiaAI’s initiatives supporting AI-centric education and AI-research are: AI is helping children with learning disabilities bridge their learning gaps through various applications: Existing Solutions: Readabled (Online Dyslexia Training): ,285159
,AI-shaped word,AI-safety,AI-*,1,1,100%,"The survey in this chapter further elaborates upon Artificial Intelligence in India’s economic context, a development-oriented approach to AI, role of human capital for AI, AI-safety and risks along with the governance, institutional archit",282941
,AI-shaped word,AI-solutions,AI-*,1,1,100%,"The National AI Mission can help scale diverse AI-solutions by providing shared infrastructure, standards, governance frameworks and funding without diluting local creativity",282941
,AI-shaped word,AI-specific,AI-*,1,1,100%,"India’s growing AI talent base AI-specific jobs span multiple sectors such as IT, manufacturing, agriculture, healthcare, governance, etc",281251
,AI-shaped word,AI-themed,AI-*,1,1,100%,"An AI-themed video showcasing India’s and Rajasthan’s AI vision was also unveiled Strengthening institutional collaboration, the event saw the signing of a Memorandum of Understanding (MoU) with Google, IIT Delhi, National Law University, J",281931
,AI-shaped word,AI-tool,AI-*,1,1,100%,"During the year 2025, the Commission focused on reaching out to the states with a more structured approach, aiming at creating capacities through Capacity Building Plans (CBPs) for State Departments by using AI-tool",281402
,AI-shaped word,AI-tools,AI-*,1,1,100%,"ICMR supports several extramural research projects for frontier technologies including development of recombinant vaccines, biologics, cell and gene therapies, Robotics and AI-tools",292670
,AI-shaped word,AI-twisted,AI-*,1,1,100%,The guests engaged in an AI-twisted Dumb Charades game to teach students the tricks of Prompt Engineering,267461
,AI-shaped word,AI-validated,AI-*,1,1,100%,Spotlight 2 – Cellverse Pvt Ltd: AI-validated 3D bioprinted disease models enabling animal-free testing for pharmaceutical and cosmetic research,284396
,AI-shaped word,AI-voice,AI-*,1,1,100%,"0 rechristened as EASE₹ise, ‘Credit Line on UPI’, ‘Hello! UPI’- an AI-voice-enabled payment feature, NPA management, financial inclusion, customer service enhancement, digital transformation among others",282065
,AI-shaped word,AI–Copyright,AI-*,1,1,100%,DPIIT Publishes First Part of Working Paper on AI–Copyright Interface Department of Promotion of Industry and Internal Trade published Part 1 of its working paper examining the intersection of generative artificial intelligence (AI) and cop,280206
,AI-shaped word,AI–Data,AI-*,1,1,100%,"The training will span sectors like Automotive, Electronics, Handicrafts, and IT-ITeS, with roles including Automotive IoT Technician, CNC Programmer, Bamboo Work Artisan, and AI–Data Scientist—supporting inclusive and future-ready workforc",273152
,AI-shaped word,AI–Quantum,AI-*,1,1,100%,The proposed campus will focus on cutting-edge domains including: Quantum Computing and Quantum Algorithms Artificial Intelligence and Machine Learning Quantum Communication and Cybersecurity Quantum Hardware and Systems Engineering High-Pe,284711
,AI-shaped word,AI–driven,AI-*,1,1,100%,"Farid Ahsan, Co-founder, General Autonomy, discussed embodied AI–driven automation using indigenous humanoid and quadruped robots, stressing the need for national enablers such as Product Linked Incentive (PLI) support, data platforms, and ",283350
,AI-shaped word,ASHABot,*bot,1,1,100%,"Public-private partnership can help develop frontline workers-led initiatives in India, employing technology like mobile apps, AI chatbots (ASHABot), and digital dashboards (e",282925
,AI-shaped word,Acousto-AI,AI-*,1,1,100%,National Institute of Technology 2023- 24 660000 85 Predictors and Outcomes of Loneliness in the Workplace: A Time lagged Multi- Study Investigation Indian Institute of Technology 2023- 24 660000 86 Modelling Maternal Healthcare Seeking Beh,292214
,AI-shaped word,Antar Drishti,*Drishti,1,1,100%,"Inauguration of 'Antar Drishti' Dark Room and Signing of MoU with Amar Seva Sangam at NIEPVD, Dehradun The National Institute for the Empowerment of Persons with Visual Disabilities (Divyangjan), Dehradun, in collaboration with the National",270018
,AI-shaped word,Atal Drishti,*Drishti,1,1,100%,"Vice-President releases book ‘Sanatan Sanskriti Ki Atal Drishti’ The Vice-President of India, Shri C",281372
,AI-shaped word,CoE-AI,AI-*,1,1,100%,"He also remotely inaugurated the Centre of Excellence for Artificial Intelligence (CoE-AI) located in Pune, and formally launched the company’s AI Policy",284391
,AI-shaped word,DPI-AI,AI-*,1,1,100%,"athmandu University's Centre for Digital Public Infrastructure & Artificial Intelligence (DPI-AI), Nepal, to establish a collaborative framework for advancing Language AI, multilingual digital public infrastructure, and inclusive digital ec",289727
,AI-shaped word,Endobot,*bot,1,1,100%,"Technologies like Endobot and Swasth AI served as pipeline diagnostic tools capable of detecting and mitigating water contamination, wastages, and sewer overﬂows, often unnoticed due to underground issues like leaks, blockages, and tree roo",254152
,AI-shaped word,GIS-AI,AI-*,1,1,100%,"Speakers demonstrated advanced geospatial tools integrated with AI techniques for feature extraction, change detection, and spatial stratification, showcasing use cases that illustrated the value of GIS-AI convergence for dynamic visualizat",271705
