term,round,channel,primary_parent,all_parents,releases_matched,releases_added_when_introduced,example_context
monsoon onset,1,2-gram,pest surveillance,pest surveillance(4),7,1,***Model error ±6% of LPA Prediction for Monsoon Onset over Kerala (MOK) YEAR ACTUAL ONSET DAT
assistance for small,1,3-gram,pest surveillance,pest surveillance(4),3,1,"us issues of agricultural practices. Under NICRA, technical assistance for small and marginal farmers is extended to additional vulnerable d"
initiatives are given,1,3-gram,pest surveillance,pest surveillance(11),17,3,tutions to Research and Development. Details of significant initiatives are given below. (a) Innovation in Science Pursuit for Inspi
reduce crop,1,2-gram,pest surveillance,pest surveillance(14),18,5,"for a hub-and-spoke model of post-harvest infrastructure to reduce crop losses along the entire value chain, from the farm to the m"
crop health monitoring,1,3-gram,pest surveillance,pest surveillance(10),14,3,mizing resource use and reducing waste. Apart from that the crop health monitoring can be done through remote sensing technologies and drones
initiatives in agriculture,1,3-gram,pest surveillance,pest surveillance(3),6,2,"tural practices, technology exchange, and capacity-building initiatives in agriculture and allied sectors. The meeting was attended by senior"
development innovation lab,1,3-gram,pest surveillance,pest surveillance(3),8,1,"on (WHO), International Labour Organization, IIM Bangalore, Development Innovation Lab-University of Chicago, have undertaken assessment studies o"
relevant local,1,2-gram,pest surveillance,pest surveillance(3),6,1,ship seeks to empower local entrepreneurs bringing together relevant local stakeholders in that particular region’s entrepreneurship e
historical rainfall,1,2-gram,pest surveillance,pest surveillance(3),7,1,"odel is primarily based on rainfall thresholds derived from historical rainfall and landslide occurrence data, in conjunction with daily ra"
pilot was conducted,1,3-gram,pest surveillance,pest surveillance(3),6,1,"prises for the financial year 2022–2023. Phase I of the pilot was conducted during May 2024–August 2024 covering 10,005 enterprises pri"
conducted in madhya,1,3-gram,pest surveillance,pest surveillance(3),6,1,"t the national mock exercise, Pashujanya Yudh Abhyas (PYA), conducted in Madhya Pradesh from 29 June to 3 July 2026, has been successfully"
pest infestations,1,2-gram,pest surveillance,pest surveillance(3),4,1,"ges, ask questions, and report field-level problems such as pest infestations, which will inform future research directions. The initiati"
services and make,1,3-gram,pest surveillance,pest surveillance(3),4,1,on Commission to deliver enhanced citizen-centric electoral services and make available all election-related information at the click of
provides structured training,1,3-gram,pest surveillance,pest surveillance(3),5,1,"g capital and purchase of small tools. Capacity Building: provides structured training, including EDP training for individual and group applicants"
summarisation,1,1-gram,compute,compute(6),12,1,ion and the progress achieved. The Webinar ended with a summarisation of key points from the Speakers Address and a formal Vote o
access to datasets,1,3-gram,compute,compute(6),7,1,"le application has opened a new channel to enable on-the-go access to datasets of official statistics, which complements the other channel"
computing resources,1,2-gram,compute,compute(6),10,1,"er forecasts. In recent years, with the availability of computing resources within the Ministry of Earth Sciences, NWP modeling systems"
units gpus,1,2-gram,compute,compute(10),12,2,
google’s,1,1-gram,compute,compute(5),20,1,a Pradesh. The Rajmargyatra app has reached rank #23 in Google’s Playstore ranking overall and #2 in travel category with ov
